subject_id,acquisition,brainmask_voxels,brainmask_volume,facemask_voxels,facemask_volume,brainmask_overlap_facemask_voxels,brainmask_overlap_facemask_volume,pc_overlap_bw_facemask_and_brainmask,leftover_dil_eyemask_voxels,leftover_dil_eyemask_volume,leftover_eyemask_voxels,leftover_eyemask_volume
sub-ON67563,fspgr,996400.0,1330065.0,1634166.0,2181394.5,0.0,0.0,0.0,76230.0,101756.923319,21920.0,29260.288064
sub-ON69092,mprage,1583207.0,1583207.0,2235707.0,2235707.0,0.0,0.0,0.0,137361.0,137361.0,50224.0,50224.0
sub-ON70467,mprage,1492763.0,1492763.0,1922077.0,1922077.0,0.0,0.0,0.0,151724.0,151724.0,55400.0,55400.0
sub-ON71932,mprage,1297376.0,1297376.0,2315136.0,2315136.0,0.0,0.0,0.0,163231.0,163231.0,65348.0,65348.0
sub-ON72082,mprage,1594939.0,1594939.0,2284559.0,2284559.0,0.0,0.0,0.0,123017.0,123017.0,40723.0,40723.0
sub-ON72409,fspgr,959954.0,1281414.375,1332322.0,1778472.875,0.0,0.0,0.0,96540.0,128868.075261,30945.0,41307.464149
sub-ON73969,mprage,1360759.0,1360759.0,2202000.0,2202000.0,0.0,0.0,0.0,107516.0,107516.0,33523.0,33523.0
sub-ON74065,fspgr,1123289.0,1499445.5,1669329.0,2228332.5,0.0,0.0,0.0,99361.0,132633.735509,31790.0,42435.426896
sub-ON75450,fspgr,1064443.0,1420893.625,1690487.0,2256590.0,0.0,0.0,0.0,111880.0,149345.88695,39215.0,52347.148344
sub-ON78603,fspgr,1098846.0,1466817.25,1763195.0,2353630.75,0.0,0.0,0.0,115312.0,153926.201518,39424.0,52625.802767
sub-ON79309,mprage,1310409.0,1310409.0,2106179.0,2106179.0,0.0,0.0,0.0,139410.0,139410.0,52275.0,52275.0
sub-ON80038,mprage,1747441.0,1747441.0,2272408.0,2272408.0,0.0,0.0,0.0,203434.0,203434.0,83496.0,83496.0
sub-ON80356,fspgr,966180.0,1289725.25,1560645.0,2083253.75,0.0,0.0,0.0,87292.0,116523.223801,27761.0,37057.247124
sub-ON81734,mprage,1650153.0,1650153.0,2167398.0,2167398.0,0.0,0.0,0.0,96442.0,96442.0,26406.0,26406.0
sub-ON82386,fspgr,1145317.0,1528850.0,1545721.0,2063345.25,0.0,0.0,0.0,85533.0,114175.918381,24451.0,32639.044349
sub-ON82798,fspgr,1315433.0,1755932.75,1766234.0,2357702.75,0.0,0.0,0.0,96972.0,129445.560862,28855.0,38517.836682
sub-ON82948,mprage,1605827.0,1605827.0,2090945.0,2090945.0,0.0,0.0,0.0,145611.0,145611.0,53826.0,53826.0
sub-ON84478,fspgr,1045907.0,1396150.625,1578948.0,2107699.25,0.0,0.0,0.0,68715.0,91725.979815,15947.0,21287.26188
sub-ON84651,fspgr,1116525.0,1490416.375,1395025.0,1862185.0,0.0,0.0,0.0,89041.0,118858.662137,26635.0,35554.412754
sub-ON84896,mprage,1464350.0,1464350.0,2125811.0,2125811.0,0.0,0.0,0.0,162207.0,162207.0,63325.0,63325.0
sub-ON85305,mprage,1510196.0,1510196.0,2193395.0,2193395.0,0.0,0.0,0.0,141534.0,141534.0,51989.0,51989.0
sub-ON85616,mprage,1359015.0,1358735.0,2208629.0,2208174.0,0.0,0.0,0.0,86081.0,86063.26786,25556.0,25550.735626
sub-ON85981,mprage,1706735.0,1706735.0,2486999.0,2486999.0,0.0,0.0,0.0,214481.0,214481.0,90518.0,90518.0
sub-ON86202,mprage,1446564.0,1446564.0,1936809.0,1936809.0,0.0,0.0,0.0,104917.0,104917.0,33037.0,33037.0
sub-ON86779,fspgr,1136098.0,1516543.75,1604958.0,2142405.75,0.0,0.0,0.0,116839.0,155964.543665,40450.0,53995.376469
sub-ON87054,fspgr,968331.0,1292596.625,1495801.0,1996695.625,0.0,0.0,0.0,107140.0,143017.667117,34450.0,45986.173532
sub-ON87092,mprage,1600563.0,1600563.0,2130378.0,2130378.0,0.0,0.0,0.0,141819.0,141819.0,51933.0,51933.0
sub-ON87313,fspgr,1143746.0,1526752.875,1685067.0,2249355.0,0.0,0.0,0.0,102834.0,137270.601882,31673.0,42279.516244
sub-ON87538,mprage,1296734.0,1296734.0,1809199.0,1809199.0,0.0,0.0,0.0,103795.0,103795.0,33800.0,33800.0
sub-ON88614,mprage,1390454.0,1390454.0,2099498.0,2099498.0,0.0,0.0,0.0,115501.0,115501.0,40008.0,40008.0
sub-ON89045,mprage,1650792.0,1650792.0,2336122.0,2336122.0,0.0,0.0,0.0,169785.0,169785.0,65740.0,65740.0
sub-ON89474,mprage,1237382.0,1237627.5,2331858.0,2332320.5,0.0,0.0,0.0,130279.0,130304.842697,50427.0,50437.002914
sub-ON89475,mprage,1384590.0,1384590.0,1899702.0,1899702.0,0.0,0.0,0.0,109407.0,109407.0,36350.0,36350.0
sub-ON91906,mprage,1493670.0,1493362.375,1996788.0,1996376.625,0.0,0.0,0.0,105459.0,105437.276115,29882.0,29875.844498
sub-ON92067,fspgr,1002942.0,1338797.875,1427573.0,1905632.375,0.0,0.0,0.0,96335.0,128595.245078,30012.0,40062.287801
sub-ON93016,fspgr,1229373.0,1641053.875,1749685.0,2335597.0,0.0,0.0,0.0,124737.0,166507.324465,42601.0,56866.675722
sub-ON93426,mprage,1373488.0,1373488.0,2028240.0,2028240.0,0.0,0.0,0.0,137193.0,137193.0,49009.0,49009.0
sub-ON94663,fspgr,1168460.0,1559742.875,1619132.0,2161339.75,0.0,0.0,0.0,107259.0,143177.426603,34843.0,46511.072032
sub-ON94856,mprage,1305625.0,1305625.0,1893399.0,1893399.0,0.0,0.0,0.0,103242.0,103242.0,32521.0,32521.0
sub-ON95003,mprage,1354717.0,1354717.0,2005102.0,2005102.0,0.0,0.0,0.0,114952.0,114952.0,38606.0,38606.0
sub-ON95259,mprage,1364801.0,1364801.0,1806945.0,1806945.0,0.0,0.0,0.0,280791.0,280791.0,128453.0,128453.0
sub-ON95422,mprage,1736716.0,1736716.0,2427527.0,2427527.0,0.0,0.0,0.0,163351.0,163351.0,61579.0,61579.0
sub-ON95742,mprage,1567437.0,1567437.0,2038096.0,2038096.0,0.0,0.0,0.0,131832.0,131832.0,45534.0,45534.0
sub-ON97504,mprage,1444342.0,1444342.0,2100891.0,2100891.0,0.0,0.0,0.0,142413.0,142413.0,53983.0,53983.0
sub-ON98018,fspgr,1190990.0,1589817.5,1607784.0,2146191.75,0.0,0.0,0.0,125788.0,167911.337394,43295.0,57793.440968
sub-ON98098,mprage,1346049.0,1346049.0,1901187.0,1901187.0,0.0,0.0,0.0,113124.0,113124.0,38325.0,38325.0
sub-ON98806,mprage,1581403.0,1581403.0,2345910.0,2345910.0,0.0,0.0,0.0,239434.0,239434.0,105739.0,105739.0
sub-ON99299,fspgr,1043518.0,1392961.375,1545500.0,2063050.375,0.0,0.0,0.0,125854.0,167999.439186,45360.0,60549.959171
sub-ON99620,mprage,1346140.0,1346140.0,2179150.0,2179150.0,0.0,0.0,0.0,125665.0,125665.0,44085.0,44085.0
